region,suburb,occupation,occupation_count_2041,occupation_rank_2041,industry,industry_count_2041,industry_rank_2041
Brisbane Inner City,Albion,Specialist Managers,320,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",371,top_1
Brisbane Inner City,Albion,"Business, Human Resource and Marketing Professionals",306,top_2,Food and Beverage Services,308,top_2
Brisbane Inner City,Albion,ICT Professionals,267,top_3,Computer System Design and Related Services,220,top_3
Brisbane Inner City,Alderley,Specialist Managers,436,top_1,Public Administration,341,top_1
Brisbane Inner City,Alderley,"Business, Human Resource and Marketing Professionals",379,top_2,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",296,top_2
Brisbane Inner City,Alderley,ICT Professionals,324,top_3,Medical and Other Health Care Services,255,top_3
Brisbane - South,Algester,Carers and Aides,416,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",496,top_1
Brisbane - South,Algester,"Business, Human Resource and Marketing Professionals",395,top_2,Construction Services,301,top_2
Brisbane - South,Algester,Specialist Managers,287,top_3,Food and Beverage Services,289,top_3
Brisbane - South,Annerley,Carers and Aides,596,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",625,top_1
Brisbane - South,Annerley,Specialist Managers,591,top_2,Public Administration,499,top_2
Brisbane - South,Annerley,ICT Professionals,578,top_3,Hospitals,460,top_3
Brisbane Inner City,Ascot,"Business, Human Resource and Marketing Professionals",451,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",629,top_1
Brisbane Inner City,Ascot,Specialist Managers,392,top_2,Food and Beverage Services,317,top_2
Brisbane Inner City,Ascot,"Design, Engineering, Science and Transport Professionals",247,top_3,Other Store-Based Retailing,244,top_3
Brisbane Inner City,Ashgrove,Specialist Managers,961,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",728,top_1
Brisbane Inner City,Ashgrove,"Business, Human Resource and Marketing Professionals",795,top_2,Preschool and School Education,562,top_2
Brisbane Inner City,Ashgrove,Education Professionals,663,top_3,Public Administration,492,top_3
Brisbane - North,Aspley,Carers and Aides,646,top_1,Public Administration,649,top_1
Brisbane - North,Aspley,"Business, Human Resource and Marketing Professionals",619,top_2,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",627,top_2
Brisbane - North,Aspley,Specialist Managers,599,top_3,Other Store-Based Retailing,526,top_3
Brisbane Inner City,Auchenflower,"Business, Human Resource and Marketing Professionals",439,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",516,top_1
Brisbane Inner City,Auchenflower,Specialist Managers,411,top_2,Accommodation,261,top_2
Brisbane Inner City,Auchenflower,ICT Professionals,384,top_3,Medical and Other Health Care Services,245,top_3
Brisbane - North,Bald Hills,Carers and Aides,349,top_1,Construction Services,417,top_1
Brisbane - North,Bald Hills,Sales Assistants and Salespersons,252,top_2,Public Administration,271,top_2
Brisbane - North,Bald Hills,Specialist Managers,234,top_3,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",253,top_3
Brisbane Inner City,Balmoral,Specialist Managers,325,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",312,top_1
Brisbane Inner City,Balmoral,"Business, Human Resource and Marketing Professionals",283,top_2,Public Administration,167,top_2
Brisbane Inner City,Balmoral,"Design, Engineering, Science and Transport Professionals",181,top_3,Computer System Design and Related Services,149,top_3
Brisbane Inner City,Bardon,Specialist Managers,761,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",692,top_1
Brisbane Inner City,Bardon,"Business, Human Resource and Marketing Professionals",579,top_2,Computer System Design and Related Services,385,top_2
Brisbane Inner City,Bardon,ICT Professionals,494,top_3,Medical and Other Health Care Services,339,top_3
Brisbane - West,Bellbowrie - Moggill,"Design, Engineering, Science and Transport Professionals",437,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",951,top_1
Brisbane - West,Bellbowrie - Moggill,Specialist Managers,396,top_2,Medical and Other Health Care Services,581,top_2
Brisbane - West,Bellbowrie - Moggill,Education Professionals,392,top_3,Preschool and School Education,294,top_3
Brisbane - East,Belmont - Gumdale,Specialist Managers,374,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",341,top_1
Brisbane - East,Belmont - Gumdale,Health Professionals,306,top_2,Hospitals,308,top_2
Brisbane - East,Belmont - Gumdale,"Business, Human Resource and Marketing Professionals",232,top_3,Tertiary Education,223,top_3
Brisbane - North,Boondall,Carers and Aides,369,top_1,Public Administration,405,top_1
Brisbane - North,Boondall,"Business, Human Resource and Marketing Professionals",338,top_2,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",320,top_2
Brisbane - North,Boondall,Specialist Managers,285,top_3,Other Store-Based Retailing,282,top_3
Brisbane - North,Bracken Ridge,Carers and Aides,1157,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",1113,top_1
Brisbane - North,Bracken Ridge,"Business, Human Resource and Marketing Professionals",789,top_2,Public Administration,990,top_2
Brisbane - North,Bracken Ridge,Specialist Managers,728,top_3,Other Store-Based Retailing,739,top_3
Brisbane - North,Bridgeman Downs,Specialist Managers,923,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",481,top_1
Brisbane - North,Bridgeman Downs,Carers and Aides,458,top_2,Public Administration,368,top_2
Brisbane - North,Bridgeman Downs,"Business, Human Resource and Marketing Professionals",314,top_3,Tertiary Education,359,top_3
Brisbane - North,Brighton (Qld),"Business, Human Resource and Marketing Professionals",315,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",497,top_1
Brisbane - North,Brighton (Qld),Protective Service Workers,310,top_2,Public Administration,295,top_2
Brisbane - North,Brighton (Qld),Specialist Managers,293,top_3,"Public Order, Safety and Regulatory Services",272,top_3
Brisbane - North,Brisbane Airport,Road and Rail Drivers,17,top_1,Heavy and Civil Engineering Construction,18,top_1
Brisbane - North,Brisbane Airport,Carers and Aides,16,top_2,Road Transport,8,top_2
Brisbane - North,Brisbane Airport,"Chief Executives, General Managers and Legislators",5,top_3,Exploration and Other Mining Support Services,3,top_3
Brisbane Inner City,Brisbane City,ICT Professionals,2318,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",2489,top_1
Brisbane Inner City,Brisbane City,Specialist Managers,1839,top_2,Food and Beverage Services,2041,top_2
Brisbane Inner City,Brisbane City,"Business, Human Resource and Marketing Professionals",1612,top_3,Computer System Design and Related Services,1505,top_3
Brisbane - West,Brookfield - Kenmore Hills,Specialist Managers,508,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",429,top_1
Brisbane - West,Brookfield - Kenmore Hills,ICT Professionals,441,top_2,Tertiary Education,393,top_2
Brisbane - West,Brookfield - Kenmore Hills,Health Professionals,370,top_3,Computer System Design and Related Services,362,top_3
Brisbane Inner City,Bulimba,Specialist Managers,661,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",504,top_1
Brisbane Inner City,Bulimba,"Business, Human Resource and Marketing Professionals",464,top_2,Computer System Design and Related Services,230,top_2
Brisbane Inner City,Bulimba,"Design, Engineering, Science and Transport Professionals",273,top_3,Public Administration,226,top_3
Brisbane - South,Calamvale - Stretton,"Business, Human Resource and Marketing Professionals",1281,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",1686,top_1
Brisbane - South,Calamvale - Stretton,Carers and Aides,970,top_2,Food and Beverage Services,1085,top_2
Brisbane - South,Calamvale - Stretton,Specialist Managers,857,top_3,Public Administration,888,top_3
Brisbane - South,Camp Hill,Specialist Managers,830,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",600,top_1
Brisbane - South,Camp Hill,"Business, Human Resource and Marketing Professionals",579,top_2,Preschool and School Education,387,top_2
Brisbane - South,Camp Hill,Education Professionals,393,top_3,Non-Store Retailing and Retail Commission-Based Buying and/or Selling,361,top_3
Brisbane - South,Cannon Hill,Specialist Managers,345,top_1,Other Store-Based Retailing,285,top_1
Brisbane - South,Cannon Hill,"Business, Human Resource and Marketing Professionals",254,top_2,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",240,top_2
Brisbane - South,Cannon Hill,ICT Professionals,223,top_3,Preschool and School Education,200,top_3
Brisbane - South,Carina,Specialist Managers,619,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",414,top_1
Brisbane - South,Carina,"Business, Human Resource and Marketing Professionals",475,top_2,Preschool and School Education,368,top_2
Brisbane - South,Carina,Carers and Aides,399,top_3,Social Assistance Services,331,top_3
Brisbane - South,Carina Heights,Specialist Managers,312,top_1,Other Store-Based Retailing,308,top_1
Brisbane - South,Carina Heights,ICT Professionals,295,top_2,Public Administration,284,top_2
Brisbane - South,Carina Heights,Carers and Aides,283,top_3,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",242,top_3
Brisbane - South,Carindale,Specialist Managers,1015,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",796,top_1
Brisbane - South,Carindale,"Business, Human Resource and Marketing Professionals",792,top_2,Other Store-Based Retailing,669,top_2
Brisbane - South,Carindale,ICT Professionals,569,top_3,Public Administration,584,top_3
Brisbane - North,Carseldine,Specialist Managers,482,top_1,Public Administration,441,top_1
Brisbane - North,Carseldine,"Business, Human Resource and Marketing Professionals",393,top_2,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",370,top_2
Brisbane - North,Carseldine,Carers and Aides,348,top_3,Construction Services,368,top_3
Brisbane - West,Chapel Hill,ICT Professionals,1121,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",952,top_1
Brisbane - West,Chapel Hill,Specialist Managers,977,top_2,Computer System Design and Related Services,779,top_2
Brisbane - West,Chapel Hill,Education Professionals,618,top_3,Preschool and School Education,430,top_3
Brisbane - West,Chelmer - Graceville,Specialist Managers,629,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",387,top_1
Brisbane - West,Chelmer - Graceville,ICT Professionals,384,top_2,Computer System Design and Related Services,306,top_2
Brisbane - West,Chelmer - Graceville,"Business, Human Resource and Marketing Professionals",344,top_3,Medical and Other Health Care Services,297,top_3
Brisbane - North,Chermside,Carers and Aides,901,top_1,Public Administration,701,top_1
Brisbane - North,Chermside,"Business, Human Resource and Marketing Professionals",448,top_2,Hospitals,699,top_2
Brisbane - North,Chermside,ICT Professionals,440,top_3,Food and Beverage Services,651,top_3
Brisbane - North,Chermside West,Carers and Aides,413,top_1,Public Administration,334,top_1
Brisbane - North,Chermside West,Specialist Managers,289,top_2,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",228,top_2
Brisbane - North,Chermside West,Education Professionals,277,top_3,Social Assistance Services,220,top_3
Brisbane Inner City,Clayfield,"Business, Human Resource and Marketing Professionals",721,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",925,top_1
Brisbane Inner City,Clayfield,Specialist Managers,638,top_2,Public Administration,424,top_2
Brisbane Inner City,Clayfield,"Design, Engineering, Science and Transport Professionals",449,top_3,Food and Beverage Services,414,top_3
Brisbane - South,Coopers Plains,Carers and Aides,310,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",392,top_1
Brisbane - South,Coopers Plains,"Business, Human Resource and Marketing Professionals",206,top_2,Public Administration,290,top_2
Brisbane - South,Coopers Plains,"Design, Engineering, Science and Transport Professionals",170,top_3,Food and Beverage Services,272,top_3
Brisbane - South,Coorparoo,"Business, Human Resource and Marketing Professionals",994,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",1077,top_1
Brisbane - South,Coorparoo,Specialist Managers,942,top_2,Public Administration,690,top_2
Brisbane - South,Coorparoo,ICT Professionals,784,top_3,Medical and Other Health Care Services,578,top_3
Brisbane - West,Corinda,"Business, Human Resource and Marketing Professionals",309,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",435,top_1
Brisbane - West,Corinda,Specialist Managers,291,top_2,Public Administration,284,top_2
Brisbane - West,Corinda,"Design, Engineering, Science and Transport Professionals",266,top_3,Preschool and School Education,241,top_3
Ipswich,Darra - Sumner,Carers and Aides,273,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",258,top_1
Ipswich,Darra - Sumner,ICT Professionals,182,top_2,Food and Beverage Services,243,top_2
Ipswich,Darra - Sumner,"Design, Engineering, Science and Transport Professionals",160,top_3,Other Store-Based Retailing,205,top_3
Brisbane - North,Deagon,"Business, Human Resource and Marketing Professionals",153,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",221,top_1
Brisbane - North,Deagon,Carers and Aides,119,top_2,Public Administration,180,top_2
Brisbane - North,Deagon,Specialist Managers,114,top_3,Tertiary Education,121,top_3
Ipswich,Durack,Carers and Aides,316,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",258,top_1
Ipswich,Durack,Sports and Personal Service Workers,263,top_2,Food and Beverage Services,247,top_2
Ipswich,Durack,Sales Assistants and Salespersons,186,top_3,Social Assistance Services,176,top_3
Brisbane - North,Eagle Farm - Pinkenba,Construction Trades Workers,608,top_1,Construction Services,514,top_1
Brisbane - North,Eagle Farm - Pinkenba,Food Trades Workers,523,top_2,Food and Beverage Services,490,top_2
Brisbane - North,Eagle Farm - Pinkenba,Construction and Mining Labourers,452,top_3,Road Transport,459,top_3
Brisbane Inner City,East Brisbane,Specialist Managers,480,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",630,top_1
Brisbane Inner City,East Brisbane,"Business, Human Resource and Marketing Professionals",461,top_2,Food and Beverage Services,434,top_2
Brisbane Inner City,East Brisbane,ICT Professionals,341,top_3,Computer System Design and Related Services,289,top_3
Brisbane - South,Eight Mile Plains,"Business, Human Resource and Marketing Professionals",930,top_1,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",1357,top_1
Brisbane - South,Eight Mile Plains,"Design, Engineering, Science and Transport Professionals",805,top_2,Food and Beverage Services,964,top_2
Brisbane - South,Eight Mile Plains,Specialist Managers,766,top_3,Public Administration,749,top_3
Brisbane - West,Enoggera,Protective Service Workers,945,top_1,Public Administration,1133,top_1
Brisbane - West,Enoggera,"Business, Human Resource and Marketing Professionals",651,top_2,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",475,top_2
Brisbane - West,Enoggera,ICT Professionals,626,top_3,Computer System Design and Related Services,438,top_3
Brisbane - North,Everton Park,Carers and Aides,987,top_1,Public Administration,629,top_1
